Endereço Virtual: 0 | Segmento: TEXT | Pagina: 0 | Offset: 0 | Endereço Fisico: 0
Endereço Virtual: 16 | Segmento: TEXT | Pagina: 1 | Offset: 0 | Endereço Fisico: 16
Endereço Virtual: 32 | Segmento: TEXT | Pagina: 2 | Offset: 0 | Endereço Fisico: 32
Endereço Virtual: 48 | Segmento: TEXT | Pagina: 3 | Offset: 0 | Endereço Fisico: 48
Endereço Virtual: 64 | Segmento: TEXT | Pagina: 4 | Offset: 0 | Endereço Fisico: 64
Endereço Virtual: 80 | Segmento: TEXT | Pagina: 5 | Offset: 0 | Endereço Fisico: 80
Endereço Virtual: 96 | Segmento: TEXT | Pagina: 6 | Offset: 0 | Endereço Fisico: 96
Endereço Virtual: 112 | Segmento: TEXT | Pagina: 7 | Offset: 0 | Endereço Fisico: 112
Endereço Virtual: 128 | Segmento: DATA | Pagina: 8 | Offset: 0 | Endereço Fisico: 128
Endereço Virtual: 144 | Segmento: DATA | Pagina: 9 | Offset: 0 | Endereço Fisico: 144
Endereço Virtual: 160 | Segmento: DATA | Pagina: 10 | Offset: 0 | Endereço Fisico: 160
Endereço Virtual: 176 | Segmento: DATA | Pagina: 11 | Offset: 0 | Endereço Fisico: 176
Endereço Virtual: 192 | Segmento: DATA | Pagina: 12 | Offset: 0 | Endereço Fisico: 192
Endereço Virtual: 208 | Segmento: DATA | Pagina: 13 | Offset: 0 | Endereço Fisico: 208
Endereço Virtual: 224 | Segmento: DATA | Pagina: 14 | Offset: 0 | Endereço Fisico: 224
Endereço Virtual: 240 | Segmento: DATA | Pagina: 15 | Offset: 0 | Endereço Fisico: 240
Endereço Virtual: 256 | Segmento: STACK | Pagina: 16 | Offset: 0 | Endereço Fisico: 256
Endereço Virtual: 272 | Segmento: STACK | Pagina: 17 | Offset: 0 | Endereço Fisico: 272
Endereço Virtual: 288 | Segmento: STACK | Pagina: 18 | Offset: 0 | Endereço Fisico: 288
Endereço Virtual: 304 | Segmento: STACK | Pagina: 19 | Offset: 0 | Endereço Fisico: 304
Endereço Virtual: 320 | Segmento: STACK | Pagina: 20 | Offset: 0 | Endereço Fisico: 320
Endereço Virtual: 336 | Segmento: STACK | Pagina: 21 | Offset: 0 | Endereço Fisico: 336
Endereço Virtual: 352 | Segmento: STACK | Pagina: 22 | Offset: 0 | Endereço Fisico: 352
Endereço Virtual: 368 | Segmento: STACK | Pagina: 23 | Offset: 0 | Endereço Fisico: 368
Endereço Virtual: 384 | Segmento: BSS | Pagina: 24 | Offset: 0 | Endereço Fisico: 384
Endereço Virtual: 400 | Segmento: BSS | Pagina: 25 | Offset: 0 | Endereço Fisico: 400
